CowSelecs,GeneralValueReg,ebv_milkReg,evb_fatReg,ebv_proteinReg,ebv_insemenationReg,ebv_serviceReg,ebv_somaticNucReg,ebv_productiveLongLivityReg,ebv_mastitReg,ebv_proteinPercentsReg,ebv_fatPercentsReg,ebv_milkReg_rel,ebv_fatReg_rel,ebv_proteinReg_rel,ebv_insemenationReg_rel,ebv_serviceReg_rel,ebv_somaticNucReg_rel,ebv_productiveLongLivityReg_rel,ebv_mastitReg_rel,ebv_proteinPercentsReg_rel,ebv_fatPercentsReg_rel,GeneralValueHoz,ebv_milkHoz,evb_fatHoz,ebv_proteinHoz,ebv_insemenationHoz,ebv_serviceHoz,GeneralValueReg_rel
6353169226446,271.911005002921,2198.5,59.431,69.484,0.21664,-2.2868,32.40829193,-0.39573115,0.56863957,-0.0050822,-0.21664,22.157,21.790000000000003,22.101000000000003,15.836,12.505,53.64,66.25999999999999,34.56,16.552,21.637,,,,,,,
4353169202687,271.619455048442,1982.8,59.745,64.195,0.09588,-6.1433,31.74348391,-0.45088438,0.65373857,0.00077276,-0.13985,72.027,69.586,71.60499999999999,43.559,36.197,53.63,70.61,34.81,45.643,68.354,,,,,,,
6353169224297,271.487566323367,2216.7,57.325,70.554,0.31518,-2.6412,31.26558463,-0.60600535,0.56452935,-0.0024746,-0.25888,34.222,33.678000000000004,34.139,28.185,26.435,53.59,68.7,34.57,28.639,33.446,,,,,,,
8352300208765,271.225690281845,2119.5,62.932,69.28,0.035025,0.0712,32.22831564,-0.47543524,0.56602397,0.0023795,-0.13639,59.862,56.883,59.385,25.857000000000003,17.778,53.64,67.01,34.63,28.298,55.492,,,,,,,
4353720000699,271.223111501877,1834.8,66.83,60.584,-0.097462,-4.4745,-125.86972321,-0.66894794,0.20017254,-0.00023545,-0.0086208,92.14,92.07,92.129,91.65,91.602,56.98,63.46000000000001,34.53,91.669,92.041,,,,,,,
8352300208821,271.167116882972,2074.5,63.219,68.799,0.10822,-0.20028,31.98185719,-0.55225742,0.57067288,0.0089381,-0.10501,61.483,58.51499999999999,61.017,25.964,17.152,53.63,66.75,34.57,28.555000000000003,57.166,,,,,,,
6353169263631,270.838146529713,2235.3,58.562,71.079,0.32285,-1.2596,32.40829193,-0.40241967,0.56863957,-0.0035127,-0.24179,27.641,26.869,27.524,17.505000000000003,13.835,53.64,66.4,34.56,18.424,26.540000000000003,,,,,,,
8352300205410,270.680972326229,2289.9,61.44,70.653,0.18441,0.31897,64.11824846,-0.77389328,0.58082467,-0.012104,-0.25222,48.684,46.988,48.432,33.379,28.269,54.05,71.99,35.22,34.257,46.297,,,,,,,
8352300205350,270.633661724844,2186.5,55.491,67.413,0.18431,-5.8471,58.57443267,-0.5784449,0.58019987,-0.010977,-0.27131,32.881,32.333,32.800000000000004,26.673,25.01,53.98,71.63000000000001,35.18,27.138,32.104,,,,,,,
4352300205911,270.2413291437,2139.9,53.13,64.23,0.18946,-9.7023,52.95748469,-0.58517494,0.58775694,-0.017043,-0.28641,73.38,71.116,72.988,45.688,37.51,53.99,73.14,35.17,47.896,69.965,,,,,,,
